,Job Title,Company Name,Location,Salary Estimate,Rating,Description
38,Data Scientist,Infosys,"Alpharetta, GA",$94K - $165K (Employer est.),3.6,"Ideal candidate is expected to have prior experience in end-to-end implementation of Gen AI and Agentic AI based solution, fine tuning large language models,…&hellip;
Skills: TensorFlow, CI/CD, Statistics, Azure, Computer vision"
39,Data Scientist,Blue Sky Innovative Solutions,"Washington, DC",$96K - $143K (Glassdoor est.),4.4,"Bachelor's degree in Data Science, Statistics, Computer Science, or related technical field. Blue Sky Innovative Solutions (Blue Sky) assists its federal, state…&hellip;
Skills: Computer science, Relational databases, Data analysis skills, Database design, Analysis skills"
40,Azure Senior Data Scientist,MCA Connect,Remote,$105K - $165K (Employer est.),4.6,"Ability to translate business needs into technical requirements through active partnerships, collaborating with partners, data scientists and data architects.&hellip;
Skills: Power BI, Big data, Spark, R, NoSQL"
41,"Data Scientist, Customer Analytics (Remote)",Experian,United States,-1,3.8,"Experience fraud detection, data analysis, or a related field. Perform technical analysis for existing clients and present results to optimize performance and…&hellip;
Skills: Computer science, Management, Data analysis skills, SQL, Presentation skills"
42,Data Scientist,Mi-Case,Remote,$110K - $130K (Employer est.),5.0,"In this role, you will leverage advanced tools like AWS tools such as Bedrock, SageMaker, QuickSight, and similar tools to build scalable AI/ML models and…&hellip;
Skills: TensorFlow, Spark, AWS, Analysis skills, Machine learning"
43,Data Scientist,Symple Lending,"Tampa, FL",-1,4.4,"Bachelor's degree in Computer Science, Data Science, Statistics, or a related field. Experience in deploying production-grade machine learning solutions through…&hellip;
Skills: Cloud infrastructure, Azure, Relational databases, Data analysis skills, Databases"
44,Data Scientist - HSR,"Regenstrief Institute, INC","Indianapolis, IN",$95K - $142K (Glassdoor est.),3.9,"Uses creative thinking to design and develop research tools, protocols, and questionnaires at the request of the investigator.&hellip;
Skills: Microsoft Powerpoint, Microsoft Excel, Data mining, SAS, Writing skills"
45,Data Scientist,IPG Health,"New York, NY",$68K - $90K (Employer est.),3.6,"The agency is comprised of a diverse team of solution architects—social scientists, experience engineers, medical experts, business strategists and creative…&hellip;
Skills: Statistics, Relational databases, R, Databases, SQL"
46,Sr. Data Scientist (Hybrid),Northern Base Technologies LLP,"Jersey City, NJ",$130K - $140K (Employer est.),-1,"Experience applying generative AI to business problems and designing or working with LLM-powered agents*. Strong experience with machine learning techniques and…&hellip;
Skills: R, SQL, Database design, Machine learning, Data science"
47,Data Scientist,NAVEX Global,"Charlotte, NC",$150K (Employer est.),3.7,"Master’s degree in Data Science, Applied Economics, Statistics, or STEM field with sufficient overlap in explanatory analysis, predictive modelling, data…&hellip;
Skills: TensorFlow, Statistics, D3.js, Spark, SQL"
48,Research Data Scientist,Schneider Electric,"Andover, MA",-1,4.3,"Lead Data Scientist in Data and AI projects following state-of-the-art approaches for project execution from adapting existing solutions to new use cases,…&hellip;
Skills: TensorFlow, MATLAB, Azure, Data mining, Visual Studio"
49,Data Scientist,Railbookers Group,Remote,-1,3.7,"Build clear visualizations and communicate findings to technical and non-technical stakeholders. Bachelor's or Master's degree in Data Science, Computer Science…&hellip;
Skills: TensorFlow, Azure, SQL, Machine learning, Continuous improvement"
50,Data Scientist,Amazon,"San Francisco, CA",$98K - $185K (Employer est.),3.6,"1+ years of experience as a data scientist, data analyst, or a related field. Strong communication skills across technical and non-technical stakeholders.&hellip;
Skills: R, SQL, Machine learning, Fraud prevention and detection, A/B testing"
51,Senior Data Scientist,Strava,"San Francisco, CA",$209K - $222K (Employer est.),3.7,"Communicating complex data concepts effectively to both technical and non-technical stakeholders. You will develop and deploy cutting-edge machine learning…&hellip;
Skills: Software deployment, Data analysis skills, AWS, Machine learning, Data science"
52,Data Scientist,Moody's,"New York, NY",$112K - $156K (Employer est.),3.9,"Must have experience in querying structured data for analytical purposes; performing data analysis using analytical programming languages including Python, R,…&hellip;
Skills: R, Data analysis skills, Tableau, SQL, Python"
53,Data Scientist,Concentrix,"Cincinnati, OH",$101K - $114K (Employer est.),3.9,"The position requires a Master’s degree in Computer Science, Data Science, Mathematics, or any technical/analytical field that is closely related to the…&hellip;
Skills: Data mining, Spark, Database management, Machine learning, Python"
54,Data Scientist (AWS Experience Required),Spatial Front,"Rockville, MD",$100K - $170K (Employer est.),3.5,"A Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering, Mathematics, or a related technical field. This is a full-time W2 position.&hellip;
Skills: Elasticsearch, Power BI, SAFe, Software deployment, Tableau"
55,Risk Data Scientist,Regions,"Birmingham, AL",$113K - $159K (Employer est.),3.5,"Or Ph.D. and two (2) years of related experience in a quantitative/analytical/STEM field. Two (2) years of working programming experience analyzing large,…&hellip;
Skills: TensorFlow, MATLAB, Data mining, Business intelligence, SAS"
56,Data Scientist,Imagine Pediatrics,Remote,$135K - $170K (Employer est.),3.4,"Develop ML models incorporating clinical, claims, and social determinants of health (SDoH) data to drive actionable recommendations.&hellip;
Skills: Tableau, SQL, AWS, Organizational skills, AI"
57,Senior Data Scientist - Guide,Included Health,Remote,$161K - $296K (Employer est.),3.2,"Influence cross-functional teams and roadmaps through technical expertise and value assessment. Champion best practices in data science and drive the adoption…&hellip;
Skills: Data structures, Microservices, Analysis skills, Machine learning, APIs"
58,Data Scientist | Merch Algorithms | Pricing Optimization,Stitch Fix,Remote,$154K - $226K (Employer est.),3.1,"This role will combine technical expertise in data science and pricing optimization with strong decision-making capabilities to drive data-informed strategic…&hellip;
Skills: Pricing, SQL, C, Data science, Data visualization"
59,Senior Data Scientist,Credit Karma,"Oakland, CA",$296K (Employer est.),4.0,"Responsible for accelerating revenue and engagement advancement through disruptive and continuous improvements in various data science models (targeting,…&hellip;
Skills: R, SQL, Machine learning, Data science, AI"
60,Data Scientist,BambooHR,"Draper, UT",$84K - $123K (Glassdoor est.),3.8,"Research emerging techniques by understanding academic papers and new technical tools, and by conducting labs, prototypes, and explorations.&hellip;
Skills: Spark, Git, SQL, Math, Machine learning"
61,Data Scientist,Elexity,"Portland, OR",$104K - $141K (Glassdoor est.),-1,"Master’s or PHD in Data Science, Statistics, Mathematics, Computer Science or another quantitative field. You will work with key stakeholders throughout the…&hellip;
Skills: Computer science, Data mining, OOP, Analysis skills, Presentation skills"
62,Data Scientist II,StubHub,"Los Angeles, CA",$175K - $230K (Employer est.),2.5,"Build state-of-the-art machine learning models for which you own from design all the way through to production, and communicate your results to broad technical…&hellip;
Skills: R, SQL, AWS, Machine learning, Organizational skills"
63,Senior Data Scientist - Remote Nationwide,Optum,"Eden Prairie, MN",$90K - $177K (Employer est.),3.5,"Provides team support with interpretation, analysis and technical guidance for implementation of HEDIS/Star Specifications. High School Diploma/GED (or higher).&hellip;
Skills: Statistics, Data modeling, Management, Business intelligence, Content management systems"
64,Data Scientist,The Home Depot,"Atlanta, GA",$100K - $137K (Glassdoor est.),3.8,"15% Technical Exploration & Development – Seek further knowledge on key developments within data science, technical skill sets, and additional data sources;…&hellip;
Skills: Microsoft Powerpoint, Statistics, Microsoft Excel, Data mining, Business intelligence"
65,"(USA) Senior, Data Scientist",Walmart,"Bentonville, AR",$90K - $234K (Employer est.),3.4,"Option 1- Bachelor’s degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 3 years' experience…&hellip;
Skills: Web accessibility, TensorFlow, Power BI, Spark, R"
66,Data Scientist - Predictive Analytics,The Lisinski Law Firm,"Dublin, OH",-1,4.4,"Bachelor's or Master's degree in Data Science, Statistics, Computer Science, or a related field. The ideal candidate will have a strong background in data…&hellip;
Skills: Computer science, Power BI, Azure, R, Data analysis skills"
67,Data Scientist,"NinjaOne, LLC","Austin, TX",$120K - $160K (Employer est.),4.2,"Data Analysis Modeling: Design, develop, and implement machine learning models to solve complex business problems. What You’ll be Doing.&hellip;
Skills: Statistics, Computer science, Power BI, Azure, Data structures"
68,Services Data Scientist,KLA,"Ann Arbor, MI",$89K - $151K (Employer est.),4.1,"Ideal candidate should have a degree in a quantitative field such as mathematics, computer science, physics, economics, engineering, or statistics, operations…&hellip;
Skills: CRM software, Power BI, Management, SAP CRM, Relational databases"
69,Data Scientist,"Lafayette 148, Inc","Brooklyn, NY",$100K - $150K (Employer est.),4.0,"By collaborating with cross-functional teams and building intuitive visualization tools, the Data Scientist will play a key role in driving strategic decisions…&hellip;
Skills: Power BI, Microsoft Excel, Data mining, R, E-commerce"
70,Data Scientist II (contract),BNY Mellon,"Jersey City, NJ",$57.60 Per Hour (Employer est.),3.5,"Bachelor's degree in Computer Science, Information Technology, or related field preferred. Identify opportunities for process improvement through data analysis.&hellip;
Skills: Oracle, Data analysis skills, Process improvement, Databases, SQL"
71,Network Data Analyst,Ciena,Remote,$91K - $145K (Employer est.),4.2,"Bachelor of Science degree in in Statistics, Mathematics, Computer Science or similar technical field of study or experience in related field in lieu of a…&hellip;
Skills: TensorFlow, Computer science, Sales, Tableau, Databases"
72,Data Scientist,National Center for Missing & Exploited Children,Remote,-1,3.3,"The DS utilizes a range of technical tools to automate data processes, support complex analysis, and develops new methods of leveraginglarge-scale data.&hellip;
Skills: TensorFlow, Azure, Computer vision, Data structures, Java"
73,"Staff Data Scientist, Life Sciences AI",Intelligent Medical Objects,"Chicago, IL",$180K - $200K (Employer est.),3.6,"In this role, you will design, develop, and optimize machine learning models for real-world life sciences and healthcare applications.&hellip;
Skills: TensorFlow, CI/CD, Computer science, Data mining, Calculus"
74,Sr. Data Scientist,Subway,"Miami, FL",$91K - $144K (Glassdoor est.),3.4,"Demonstrated ability to communicate complex analytical concepts and results at multiple levels to technical and non-technical audiences.&hellip;
Skills: Azure, DevOps, Spark, Marketing mix modeling, SQL"
75,Data Scientist Analytics & Reporting - Payments - Senior Associate,JPMorganChase,"Plano, TX",$85K - $114K (Glassdoor est.),4.0,"Implement processes and develop tools to enhance/automate data access, extraction, and analysis efficiency. Work with leaders to develop and maintain executive…&hellip;
Skills: Microsoft Powerpoint, Statistical software, Computer science, Microsoft Excel, R"
76,Data Scientist,Elder Research,"Chantilly, VA",$99K - $134K (Glassdoor est.),4.5,"Advanced Degree in technical field (M.S, or PhD) and 3-6 years of related work experience, OR B.S. in technical field with 4-7 years of work experience (…&hellip;
Skills: TensorFlow, Oracle, Data mining, Cassandra, Relational databases"
77,Data Scientist,Smart IMS,"Austin, TX",$99K - $146K (Glassdoor est.),4.3,"Data engineer needed for Fraud Analytics roadmap implementation, including standing up new data engineering practices and supporting data analysts and data…&hellip;
Skills: AI"
78,Data Scientist,Yale University,"New Haven, CT",$88K - $138K (Glassdoor est.),4.1,"Master’s degree in a relevant social science field or discipline, such as survey research, risk perception, communication (climate change, science, environment,…&hellip;
Skills: TensorFlow, R, Research, Machine learning, Mentoring"
79,Senior Data Scientist,Unum,"Chattanooga, TN",$89K - $184K (Employer est.),3.7,"Requires 3 years of experience with the following: Using both Python and R to design and execute analytical solutions, including optimization, simulation,…&hellip;
Skills: Microsoft Powerpoint, Microsoft Word, CI/CD, DB2, DevOps"
80,Senior Data Scientist,Blue Cross Blue Shield of Massachusetts,"Boston, MA",$152K - $190K (Employer est.),3.3,"Lead the research, design, and implementation of data science solutions to support current/future business needs. Ready to help us transform healthcare?&hellip;
Skills: Statistical software, Pricing, Management, SAS, R"
81,Data Scientist,Hill's Pet Nutrition,"Overland Park, KS",$110K - $145K (Employer est.),3.8,"They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/…&hellip;
Skills: Power BI, Data mining, Facebook Advertising, Big data, Spark"
82,Data Scientist I,"Reliance, Inc.","Cypress, CA",$95K - $123K (Employer est.),3.7,"Participate in peer code reviews Technical Design-Able to identify, analyze, specify, design, and translate functional design to technical design.&hellip;
Skills: Computer science, Data mining, SAS, Big data, Writing skills"
83,Senior Data Scientist,Aurora Innovation,"Pittsburgh, PA",$146K - $234K (Employer est.),3.6,"Strong interpersonal and communication skills including the ability to communicate technical data-driven analysis to both technical and non-technical audiences…&hellip;
Skills: Data mining, Relational databases, Big data, Data analysis skills, Research"
84,Sr. Data Scientist,omega solutions inc,"Santa Ana, CA",$80K - $125K (Glassdoor est.),3.1,"Programming: SQL, Python, Spark, Hive Libraries: Scikit-Learn, Numpy Analytics: Regression, Classification, Clustering, (Decision Trees, SVM, Linear Regression,…&hellip;
Skills: Microsoft Excel, Spark, Apache Hive, Tableau, SQL"
85,Data Scientist - ML Model Operations (Remote),Hilton Grand Vacations,"Orlando, FL",-1,3.5,"Proven ability to communicate technical business requirements to non-technical end users. Advanced knowledge of statistics and tools for data analysis (e.g.,…&hellip;
Skills: TensorFlow, CI/CD, Statistics, Performance tuning, Power BI"
86,Senior Data Scientist - ML,CVS Health,"Woonsocket, RI",$102K - $222K (Employer est.),3.2,"Gather business requirements from multiple stakeholders and lead the analysis of extensive data to develop strategies and tactics for solving complex problems…&hellip;
Skills: Computer science, Data modeling, SQL, Math, Machine learning"
87,Data Scientist 2,"Prime Time Consulting, L.L.C","Aurora, CO",$115K - $145K (Employer est.),-1,"Bachelor’s Degree must be in Mathematics, Applied Mathematics Statistics, Applied Statistics, Machine learning, Data Science, Operations Research, or Computer…&hellip;
Skills: Computer science, Data mining, CSS, Data structures, Statistical analysis"
88,Quantitative & Data Scientist II,Umpqua Bank,"Portland, OR",$89K - $165K (Employer est.),2.6,"In this role, you will engage in development, execution, and implementation of statistical, mathematical, economic, and financial models for business decision…&hellip;
Skills: MATLAB, Microsoft Excel, Azure, Data mining, Management"
89,"Data Scientist, Computational Biology",NewLimit,"South San Francisco, CA",$150K - $200K (Employer est.),-1,"PhD degree in Bioinformatics, Biostatistics, Computational Biology, Computer Science or related technical field or equivalent. 401(k) with company match.&hellip;
Skills: Management, Transfection, Machine learning, Data science, Python"
90,Senior Data Analyst,Cox Automotive,"Burlington, VT",$87K - $131K (Employer est.),3.9,"Senior Data Analyst will use a variety of data platforms, data sources, and BI tools to develop and communicate meaningful business insights to various internal…&hellip;
Skills: Data modeling, Microsoft Excel, Management, Business intelligence, Databases"
91,Senior Data Scientist,client in excellent opportunity,"New York, NY",$120K - $149K (Employer est.),-1,"Ability to work with messy datasets and develop efficient feature engineering solutions. Data Integration & Feature Engineering:* Collaborate with data…&hellip;
Skills: Data analysis skills, Google Cloud Platform, E-commerce, SQL, Analysis skills"
92,Sr. Data Scientist,RAPID EAGLE INC,"Atlanta, GA",$160K - $180K (Employer est.),3.9,"Communicate complex concepts and findings effectively to both technical and non-technical audiences. Proficiency in modern data science tools and frameworks,…&hellip;
Skills: TensorFlow, CI/CD, Computer science, Kubernetes, Git"
93,Data scientist ( Clear scape analytics),Evolve ESolutions LLC,"Scottsdale, AZ",$60.00 - $65.00 Per Hour (Employer est.),-1,"Leverage Teradata Clearscape platform to develop, test, and deploy machine learning models that provide accurate financial forecasts.&hellip;
Skills: R, Analysis skills, Machine learning, Forecasting, Regression analysis"
94,Data Scientist / Senior Data Scientist,"Relentless Health, Inc.","Menlo Park, CA",$160K - $225K (Employer est.),-1,"A 4-year degree in a quantitative field such as statistics, math, computer science, physics, or engineering from an accredited college or university.&hellip;
Skills: Statistics, Big data, R, English, SQL"
95,Senior Data Scientist,Prolacta Bioscience,"Duarte, CA",$140K - $160K (Employer est.),3.3,"MS in Statistics, Computer Science, Data Science, Math or related field with 6+ years of relevant experience, or bachelor’s degree in these fields with 8+ years…&hellip;
Skills: Power BI, Data modeling, Microsoft Excel, SAS, R"
96,Data Scientist,TransUnion,"New York, NY",$68K - $113K (Employer est.),3.7,"You’ll help diagnose business needs, translate into questions that Transunion will answer, and architect data models to implement our solutions.&hellip;
Skills: Statistics, MATLAB, Web analytics, Data mining, Big data"
97,Data Scientist,Visa,"Atlanta, GA",$110K - $170K (Employer est.),3.8,"The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such…&hellip;
Skills: Microsoft Powerpoint, Microsoft Excel, Sales, Spark, R"
98,"Data Scientist, Remote",Experian,United States,-1,3.8,"Advanced degree in Machine Learning, Data Science, AI, Computer Science, or a related quantitative field. As a Data Scientist at the Experian Innovation Lab,…&hellip;
Skills: TensorFlow, Cassandra, Data structures, Spark, Data analysis skills"
99,RAQA Data Scientist,Intuitive Surgical,"Durham, NC",$107K - $170K (Employer est.),4.3,"Serve as a key contributor to driving innovation within Quality Analytics while maintaining a high degree of technical accuracy, formal documentation, and…&hellip;
Skills: R, Application development, Machine learning, Natural language processing, GitHub"
100,Data Scientist/ML Engineer,Pro Integrate Consulting,"Redmond, WA",$50.00 Per Hour (Employer est.),5.0,"OpenAI/GPT-4 prompt engineering & fine-tuning. Microsoft Graph API & Power Platform integration. SQL, NoSQL, and data pipelines.&hellip;
Skills: CI/CD, Azure, Management, NoSQL, SQL"
101,Senior Data Scientist,HF Sinclair,Remote,-1,3.7,"Responsible for analyzing large PI and API datsets to extract valuable insights, develop predictive models, and support data driven decision making processes.&hellip;
Skills: Computer science, Power BI, R, Oil & gas, English"
102,Data Scientist,"BlueHalo, an AV Company",United States,$107K - $212K (Employer est.),3.9,"BlueHalo, an AV Company, Intel division provides specialized operational support, services and technology to plan, design, develop and execute critical missions…&hellip;
Skills: Microsoft Excel, D3.js, R, Stata, Java"
103,Senior Data Scientist,Altimate.ai,"Sunnyvale, CA",$135K - $210K (Employer est.),3.6,"By leveraging a proprietary framework that combines multiple language models and a custom-built knowledge graph, we enable contextually aware AI agents that…&hellip;
Skills: TensorFlow, Kubernetes, Software deployment, Git, Databases"
104,Data Scientist 1,PayPal,"Austin, TX",$73K - $176K (Employer est.),3.7,"The data scientist will be cross-functional in scope and will focus on developing innovative card risk solutions while collaborating with key stakeholders in…&hellip;
Skills: Management, SAS, SQL, Fraud prevention and detection, Hadoop"
